muni_code;region;muni_name;uf_code;uf_acr;tipo_regiao;bioma;altitude;koppen;pop22;prop_residuo;prop_esgot
1303106;1;Nova Olinda Do Norte;13;AM;n„o metropolitana;amazonia;37,73;Af;27088;49,1;15,05
1303205;1;Novo Air√£o;13;AM;metropolitana;amazonia;57,76;Af;15819;65,35;16,43
1303304;1;Novo Aripuan√£;13;AM;n„o metropolitana;amazonia;87,97;Am;24251;26,68;14,95
1303403;1;Parintins;13;AM;n„o metropolitana;amazonia;25,22;Af;96251;62,59;20,52
1303502;1;Pauini;13;AM;n„o metropolitana;amazonia;161,94;Af;20351;28,96;26,47
1303536;1;Presidente Figueiredo;13;AM;metropolitana;amazonia;98,07;Af;30762;66,99;37,54
1303569;1;Rio Preto Da Eva;13;AM;metropolitana;amazonia;92,65;Af;24807;46,47;10,01
1303601;1;Santa Isabel Do Rio Negro;13;AM;n„o metropolitana;amazonia;124,36;Af;14305;44,01;8,25
1303700;1;Santo Ant√¥nio Do I√ß√°;13;AM;n„o metropolitana;amazonia;94,86;Af;28233;38,3;3,83
1303809;1;S√£o Gabriel Da Cachoeira;13;AM;n„o metropolitana;amazonia;116,7;Af;51921;51,38;13,11
1303908;1;S√£o Paulo De Oliven√ßa;13;AM;n„o metropolitana;amazonia;126,81;Af;32727;0,15;5,05
1303957;1;S√£o Sebasti√£o Do Uatum√£;13;AM;n„o metropolitana;amazonia;94,09;Af;11697;57,99;1,8
1304005;1;Silves;13;AM;metropolitana;amazonia;60,65;Af;11572;50,23;4,95
1304062;1;Tabatinga;13;AM;n„o metropolitana;amazonia;97,02;Af;66837;70,74;25,75
1304104;1;Tapau√°;13;AM;n„o metropolitana;amazonia;85,84;Af;21914;50,33;18,74
1304203;1;Tef√©;13;AM;n„o metropolitana;amazonia;86,29;Af;74142;68,47;32,65
1304237;1;Tonantins;13;AM;n„o metropolitana;amazonia;88,05;Af;20180;29,51;9,34
1304260;1;Uarini;13;AM;n„o metropolitana;amazonia;70,76;Af;14597;46,03;12,96
1304302;1;Urucar√°;13;AM;n„o metropolitana;amazonia;131,71;Af;18582;64,11;10,59
1304401;1;Urucurituba;13;AM;n„o metropolitana;amazonia;13;Af;24017;52,29;22,7
1400027;1;Amajari;14;RR;n„o metropolitana;amazonia;396,94;Am;16994;22,96;10,72
1400050;1;Alto Alegre;14;RR;metropolitana;amazonia;445,62;Am;23582;36,24;18,7
1400100;1;Boa Vista;14;RR;metropolitana;amazonia;87,63;Am;408157;96,36;55,38
1400159;1;Bonfim;14;RR;metropolitana;amazonia;125,7;Am;16169;34,74;39,93
1400175;1;Cant√°;14;RR;metropolitana;amazonia;146,81;Am;18030;23,86;11,26
1400209;1;Caracara√≠;14;RR;n„o metropolitana;amazonia;107,84;Af;20780;61,18;58,03
1400233;1;Caroebe;14;RR;n„o metropolitana;amazonia;219,43;Af;10555;44,68;15,59
1400282;1;Iracema;14;RR;n„o metropolitana;amazonia;313,08;Am;11000;45,7;51,16
1400308;1;Mucaja√≠;14;RR;metropolitana;amazonia;217,67;Am;17058;56,09;3,95
1400407;1;Normandia;14;RR;n„o metropolitana;amazonia;179,46;Am;15264;22,44;16,46
1400456;1;Pacaraima;14;RR;n„o metropolitana;amazonia;349,74;Am;19317;54,07;25,99
1400472;1;Rorain√≥polis;14;RR;n„o metropolitana;amazonia;64,26;Af;29932;56,06;11,66
1400506;1;S√£o Jo√£o Da Baliza;14;RR;n„o metropolitana;amazonia;147,2;Af;8011;65,4;25,84
1400605;1;S√£o Luiz;14;RR;n„o metropolitana;amazonia;121,64;Af;6192;65,86;44,23
1400704;1;Uiramut√£;14;RR;n„o metropolitana;amazonia;759,87;Am;13764;11,01;5,61
1500107;1;Abaetetuba;15;PA;n„o metropolitana;amazonia;13,29;Af;158042;63,13;17,63
1500131;1;Abel Figueiredo;15;PA;n„o metropolitana;amazonia;212,29;Aw;6119;81,63;9,79
1500206;1;Acar√°;15;PA;n„o metropolitana;amazonia;34,87;Af;63268;25,89;6,4
1500305;1;Afu√°;15;PA;n„o metropolitana;amazonia;11,92;Am;38020;29,64;3,61
1500347;1;√Ågua Azul Do Norte;15;PA;n„o metropolitana;amazonia;313,6;Am;16672;31,57;20,37
1500404;1;Alenquer;15;PA;n„o metropolitana;amazonia;316,49;Am;86096;45,45;20,31
