muni_code;muni_name;uf_code;uf_acr;tipo_regiao;bioma;altitude;koppen;pop22;prop_esgot;prop_abast;prop_residuo
1303403;Parintins;13;AM;n„o metropolitana;amazonia;25,22;Af;96251;20,52;73,24;62,59
1303502;Pauini;13;AM;n„o metropolitana;amazonia;161,94;Af;20351;26,47;49,56;28,96
1303536;Presidente Figueiredo;13;AM;metropolitana;amazonia;98,07;Af;30762;37,54;83,42;66,99
1303569;Rio Preto Da Eva;13;AM;metropolitana;amazonia;92,65;Af;24807;10,01;79,17;46,47
1303601;Santa Isabel Do Rio Negro;13;AM;n„o metropolitana;amazonia;124,36;Af;14305;8,25;45,24;44,01
1303700;Santo Ant√¥nio Do I√ß√°;13;AM;n„o metropolitana;amazonia;94,86;Af;28233;3,83;50,65;38,3
1303809;S√£o Gabriel Da Cachoeira;13;AM;n„o metropolitana;amazonia;116,7;Af;51921;13,11;43,43;51,38
1303908;S√£o Paulo De Oliven√ßa;13;AM;n„o metropolitana;amazonia;126,81;Af;32727;5,05;38,51;0,15
1303957;S√£o Sebasti√£o Do Uatum√£;13;AM;n„o metropolitana;amazonia;94,09;Af;11697;1,8;68,33;57,99
1304005;Silves;13;AM;metropolitana;amazonia;60,65;Af;11572;4,95;54,15;50,23
1304062;Tabatinga;13;AM;n„o metropolitana;amazonia;97,02;Af;66837;25,75;73,55;70,74
1304104;Tapau√°;13;AM;n„o metropolitana;amazonia;85,84;Af;21914;18,74;47,22;50,33
1304203;Tef√©;13;AM;n„o metropolitana;amazonia;86,29;Af;74142;32,65;79,14;68,47
1304237;Tonantins;13;AM;n„o metropolitana;amazonia;88,05;Af;20180;9,34;32,38;29,51
1304260;Uarini;13;AM;n„o metropolitana;amazonia;70,76;Af;14597;12,96;60,95;46,03
1304302;Urucar√°;13;AM;n„o metropolitana;amazonia;131,71;Af;18582;10,59;80,65;64,11
1304401;Urucurituba;13;AM;n„o metropolitana;amazonia;13;Af;24017;22,7;64,7;52,29
