"";"muni_code";"dengue_pattern_10_19";"dengue_pattern_20_22";"Transition";"temp_med";"umid_med";"precip_tot";"thr_temp";"thr_umid";"thr_prec";"thr_temp_umid";"muni_name";"uf_code";"uf_acr";"tipo_regiao";"bioma";"altitude";"koppen";"pop22";"prop_esgot";"prop_abast";"prop_residuo"
"4826";4310876;"Sem transmiss茫o";"Sem transmiss茫o";"Se manteve";19;74,7;431,3;165,3;326;9;130;"Jacuizinho";43;"RS";"n鉶 metropolitana";"mata atlantica";378,43;"Cfa";2028;3,31;89,83;23,04
"4827";4310900;"Epis贸dico";"Epis贸dico/Epid锚mico";"Piorou";18,1;75,1;550,8;143;329,7;12,7;115,7;"Jacutinga";43;"RS";"n鉶 metropolitana";"pampa";649,05;"Cfb";3198;69,65;79,57;78,43
"4828";4311007;"Epis贸dico";"Epis贸dico";"Se manteve";18;77,4;362,9;145,7;349,7;7,3;133,7;"Jaguar茫o";43;"RS";"n鉶 metropolitana";"pampa";44,99;"Cfa";26583;63,51;98,72;93,09
"4829";4311106;"Epis贸dico";"Epis贸dico";"Se manteve";19,3;73,3;449,6;179,3;311,3;11,3;131,7;"Jaguari";43;"RS";"n鉶 metropolitana";"mata atlantica";201,99;"Cfa";10527;33,87;78,5;60,35
"4830";4311122;"Sem transmiss茫o";"Sem transmiss茫o";"Se manteve";16,1;82,8;681,4;71,7;361,7;8,7;70,7;"Jaquirana";43;"RS";"n鉶 metropolitana";"mata atlantica";863,17;"Cfb";3692;36,95;88,85;83,09
"4831";4311130;"Sem transmiss茫o";"Sem transmiss茫o";"Se manteve";19,3;73,1;432,1;178,7;313,3;9,7;132,3;"Jari";43;"RS";"n鉶 metropolitana";"pampa";346,83;"Cfa";3349;10,32;90,26;24,94
"4832";4311155;"Epis贸dico";"Epis贸dico";"Se manteve";19,1;72,8;454,4;170;308,3;13;121;"J贸ia";43;"RS";"n鉶 metropolitana";"pampa";360,22;"Cfa";7123;41,62;82,67;38,56
"4833";4311205;"Epis贸dico";"Epis贸dico";"Se manteve";18,7;74,5;456,8;160;320,3;11;121,3;"J煤lio De Castilhos";43;"RS";"n鉶 metropolitana";"pampa";406,89;"Cfa";18121;48,44;95,73;86,99
"4834";4311239;"Sem transmiss茫o";"Epis贸dico";"Piorou";18,8;77,3;462,3;165;343,7;8,7;145;"Lagoa Bonita Do Sul";43;"RS";"n鉶 metropolitana";"mata atlantica";477,88;"Cfa";2253;28,92;83,6;35,71
"4835";4311254;"Sem transmiss茫o";"Epis贸dico";"Piorou";18;78,3;508;147,3;346,3;9,7;130,3;"Lago茫o";43;"RS";"n鉶 metropolitana";"mata atlantica";498,1;"Cfa";5343;10,73;80,85;27,19
"4836";4311270;"Epis贸dico";"Epis贸dico/Epid锚mico";"Piorou";18,9;73,7;474;166,3;320,7;11;128,3;"Lagoa Dos Tr锚s Cantos";43;"RS";"n鉶 metropolitana";"mata atlantica";439,56;"Cfa";1726;20,47;98,38;97,67
"4837";4311304;"Epis贸dico";"Epis贸dico/Epid锚mico";"Piorou";17;77,5;526,7;104,7;353,7;9,3;95,7;"Lagoa Vermelha";43;"RS";"n鉶 metropolitana";"mata atlantica";757,5;"Cfb";27598;81,28;95,71;92,23
"4838";4311403;"Epis贸dico/Epid锚mico";"Epid锚mico";"Piorou";18,6;79,3;496,1;159,3;354,3;10;147,7;"Lajeado";43;"RS";"n鉶 metropolitana";"mata atlantica";78,24;"Cfa";97432;85;90,43;99,79
"4839";4311429;"Epis贸dico";"Epis贸dico";"Se manteve";19,6;72,5;536;184;307;14;132,3;"Lajeado Do Bugre";43;"RS";"n鉶 metropolitana";"mata atlantica";450,39;"Cfa";2569;2,99;96,51;28,93
"4840";4311502;"Sem transmiss茫o";"Epis贸dico";"Piorou";17,8;76,3;413,5;142,3;337,7;8;117;"Lavras Do Sul";43;"RS";"n鉶 metropolitana";"pampa";269,61;"Cfa";7458;63,7;95,67;81,76
"4841";4311601;"Epis贸dico";"Epis贸dico";"Se manteve";19,6;72,5;536;184;307;14;132,3;"Liberato Salzano";43;"RS";"n鉶 metropolitana";"mata atlantica";402,59;"Cfa";4664;6,46;91,85;37,11
"4842";4311627;"Epis贸dico";"Epis贸dico";"Se manteve";18,9;79,3;517,7;164,7;358;9,3;157;"Lindolfo Collor";43;"RS";"n鉶 metropolitana";"mata atlantica";79,78;"Cfa";6156;65,8;97,99;98,8
"4843";4311643;"Epis贸dico";"Epis贸dico";"Se manteve";17,5;80,9;573;125,3;358,7;11;120,3;"Linha Nova";43;"RS";"n鉶 metropolitana";"mata atlantica";296,83;"Cfa";1763;47,35;96,16;89,77
"4844";4311700;"Epis贸dico";"Epis贸dico/Epid锚mico";"Piorou";18,6;74,2;507,8;156,3;332,7;10;129,7;"Machadinho";43;"RS";"n鉶 metropolitana";"mata atlantica";656,04;"Cfb";5729;84,74;84,32;69,95
"4845";4311718;"Sem transmiss茫o";"Epis贸dico";"Piorou";20,5;70,2;371,2;203,7;289;9;135,7;"Ma莽ambar谩";43;"RS";"n鉶 metropolitana";"pampa";114,81;"Cfa";4427;35,73;92,48;43,72
"4846";4311734;"Sem transmiss茫o";"Sem transmiss茫o";"Se manteve";17,8;82,6;673,4;121,3;362,3;10,3;120,7;"Mampituba";43;"RS";"n鉶 metropolitana";"mata atlantica";422,13;"Cfa";2954;42,84;86,28;92,5
"4847";4311759;"Sem transmiss茫o";"Epis贸dico";"Piorou";20,1;71,1;370;193,7;299,3;9;134,7;"Manoel Viana";43;"RS";"n鉶 metropolitana";"pampa";117;"Cfa";6732;15,85;91,22;77,21
"4848";4311775;"Epis贸dico";"Epis贸dico";"Se manteve";18,2;82,5;603,2;137,3;364;11,3;136,7;"Maquin茅";43;"RS";"n鉶 metropolitana";"mata atlantica";310,81;"Cfa";8222;69,77;85,79;93,07
"4849";4311791;"Sem transmiss茫o";"Epis贸dico";"Piorou";19,1;78,5;492,6;168,7;356;9,7;159;"Marat谩";43;"RS";"n鉶 metropolitana";"mata atlantica";133,66;"Cfa";2515;77,14;98,81;90,48
"4850";4311809;"Epis贸dico/Epid锚mico";"Epis贸dico/Epid锚mico";"Se manteve";17,7;76,5;524,1;131,7;342,3;11,3;111,7;"Marau";43;"RS";"n鉶 metropolitana";"mata atlantica";586,14;"Cfa";46643;87,67;90,73;98,12
"4851";4311908;"Epis贸dico";"Epis贸dico/Epid锚mico";"Piorou";18,6;74,1;495,5;157,3;331,7;9;130;"Marcelino Ramos";43;"RS";"n鉶 metropolitana";"mata atlantica";511,71;"Cfa";4314;64,07;94,14;75,21
"4852";4311981;"Epis贸dico";"Epis贸dico";"Se manteve";18,7;79;467,6;157,3;357,7;9,3;151;"Mariana Pimentel";43;"RS";"n鉶 metropolitana";"pampa";153,18;"Cfa";3889;56,52;77,97;79,84
"4853";4312005;"Sem transmiss茫o";"Epis贸dico/Epid锚mico";"Piorou";18,6;75,4;553,3;158;337,7;11;133,7;"Mariano Moro";43;"RS";"n鉶 metropolitana";"mata atlantica";491,17;"Cfa";1856;84,7;72,82;86,94
"4854";4312054;"Sem transmiss茫o";"Epis贸dico/Epid锚mico";"Piorou";18,5;79,2;513,5;158,7;352,7;10,3;145,7;"Marques De Souza";43;"RS";"n鉶 metropolitana";"mata atlantica";269,34;"Cfa";3928;49,34;95,81;77,77
"4855";4312104;"Sem transmiss茫o";"Epis贸dico";"Piorou";19,6;73,2;414;184,7;314;9;139;"Mata";43;"RS";"n鉶 metropolitana";"mata atlantica";186,8;"Cfa";4697;46,1;81,83;57,05
"4856";4312138;"Epis贸dico";"Epis贸dico";"Se manteve";18,1;75,6;509,3;146;337,3;10;121,3;"Mato Castelhano";43;"RS";"n鉶 metropolitana";"mata atlantica";702,06;"Cfb";2552;86,31;64,18;56,1
"4857";4312153;"Epis贸dico";"Epis贸dico/Epid锚mico";"Piorou";18,9;78,3;489,9;167;348,7;9,3;151,3;"Mato Leit茫o";43;"RS";"n鉶 metropolitana";"mata atlantica";91,65;"Cfa";4848;81,04;99,62;93,73
"4858";4312179;"Epis贸dico";"Epis贸dico";"Se manteve";20,7;69,9;469,1;213;280,7;13;136,3;"Mato Queimado";43;"RS";"n鉶 metropolitana";"mata atlantica";200,3;"Cfa";1793;30,97;100;44,19
"4859";4312203;"Epis贸dico";"Epis贸dico";"Se manteve";17,9;75,1;516,5;136,3;339;10,3;114,7;"Maximiliano De Almeida";43;"RS";"n鉶 metropolitana";"mata atlantica";556,78;"Cfa";4763;44,75;87,09;61,54
"4860";4312252;"Epis贸dico";"Epis贸dico";"Se manteve";18,3;79,4;461,8;148,7;357,7;8;141,7;"Minas Do Le茫o";43;"RS";"n鉶 metropolitana";"pampa";63,36;"Cfa";7470;71,82;99,55;96,19
"4861";4312302;"Epis贸dico";"Epis贸dico/Epid锚mico";"Piorou";20,2;72,6;525,4;203,7;304;12,7;149,3;"Miragua铆";43;"RS";"n鉶 metropolitana";"mata atlantica";404,09;"Cfa";4388;35,06;93,05;52,64
"4862";4312351;"Epis贸dico";"Epis贸dico";"Se manteve";17,9;77,6;479,9;138,7;349,7;9,3;124,3;"Montauri";43;"RS";"n鉶 metropolitana";"mata atlantica";520,04;"Cfa";1495;32,69;98,72;90,17
"4863";4312377;"Epis贸dico";"Sem transmiss茫o";"Melhorou";15,9;79,8;473;69,7;361,3;6,3;69;"Monte Alegre Dos Campos";43;"RS";"n鉶 metropolitana";"mata atlantica";806,15;"Cfb";3610;22,06;75;42,51
"4864";4312385;"Epis贸dico";"Epis贸dico";"Se manteve";17,8;79,4;507,9;136,3;355,7;9;127,3;"Monte Belo Do Sul";43;"RS";"n鉶 metropolitana";"mata atlantica";461,38;"Cfa";2584;7,99;96;96,37
"4865";4312401;"Epis贸dico/Epid锚mico";"Epis贸dico/Epid锚mico";"Se manteve";18,9;79,3;517,7;164,7;358;9,3;157;"Montenegro";43;"RS";"metropolitana";"pampa";65,06;"Cfa";66878;89,28;97,23;99,22
"4866";4312427;"Epis贸dico";"Epis贸dico";"Se manteve";18,5;74,9;478,2;154;331,3;9,7;124;"Morma莽o";43;"RS";"n鉶 metropolitana";"mata atlantica";463,78;"Cfa";2748;41,41;96,93;67,23
"4867";4312443;"Epis贸dico";"Epis贸dico";"Se manteve";17;83;695,2;95;363,7;11;94,7;"Morrinhos Do Sul";43;"RS";"n鉶 metropolitana";"mata atlantica";242,02;"Cfa";3091;15,23;88,67;95,77
"4868";4312450;"Sem transmiss茫o";"Epis贸dico";"Piorou";17,6;79,8;433,6;135;355,7;8,7;127,7;"Morro Redondo";43;"RS";"n鉶 metropolitana";"pampa";160,57;"Cfa";5568;68,55;89,27;71,55
"4869";4312476;"Epis贸dico";"Epis贸dico";"Se manteve";18,7;80;521,5;157,7;361;9;153;"Morro Reuter";43;"RS";"n鉶 metropolitana";"mata atlantica";500,62;"Cfb";6124;93,41;86,41;98,96
"4870";4312500;"Epis贸dico";"Epis贸dico";"Se manteve";19,4;78,6;375,7;170;355,3;7;167;"Mostardas";43;"RS";"n鉶 metropolitana";"pampa";9,4;"Cfa";13035;85,51;98,5;83,55
"4871";4312609;"Epis贸dico";"Epis贸dico/Epid锚mico";"Piorou";18,2;79,9;530,7;147;355,7;10,7;137,3;"Mu莽um";43;"RS";"n鉶 metropolitana";"mata atlantica";234,24;"Cfa";4492;55,59;99,17;95,9
"4872";4312617;"Sem transmiss茫o";"Sem transmiss茫o";"Se manteve";17;77,5;526,7;104,7;353,7;9,3;95,7;"Muitos Cap玫es";43;"RS";"n鉶 metropolitana";"mata atlantica";802,8;"Cfb";2811;25,86;93,41;63,39
"4873";4312625;"Epis贸dico";"Sem transmiss茫o";"Melhorou";17,4;76,8;529,6;121,3;346;10,7;105,3;"Muliterno";43;"RS";"n鉶 metropolitana";"mata atlantica";809,12;"Cfb";1718;45,77;87,31;63,98
"4874";4312658;"Epis贸dico";"Epis贸dico/Epid锚mico";"Piorou";18,5;74,9;478,2;154;331,3;9,7;124;"N茫o-Me-Toque";43;"RS";"n鉶 metropolitana";"mata atlantica";466,47;"Cfa";17821;46,11;98,75;95,07
"4875";4312674;"Epis贸dico";"Epis贸dico";"Se manteve";18,5;74,9;478,2;154;331,3;9,7;124;"Nicolau Vergueiro";43;"RS";"n鉶 metropolitana";"mata atlantica";535,13;"Cfa";1935;11,97;97,73;52,1
"4876";4312708;"Epis贸dico";"Epis贸dico/Epid锚mico";"Piorou";19,6;73;542,1;183,3;313,7;11,7;138;"Nonoai";43;"RS";"n鉶 metropolitana";"mata atlantica";533,9;"Cfa";13466;25,6;96,01;77,01
"4877";4312757;"Epis贸dico";"Epis贸dico";"Se manteve";17,7;76,9;500,9;133;346;8,7;115;"Nova Alvorada";43;"RS";"n鉶 metropolitana";"mata atlantica";613,16;"Cfb";3169;6,12;97,45;92,77
"4878";4312807;"Epis贸dico";"Epis贸dico";"Se manteve";17,5;76,8;506,5;123,7;350;8,3;111;"Nova Ara莽谩";43;"RS";"n鉶 metropolitana";"mata atlantica";661,1;"Cfb";4968;66,28;91,66;95,45
"4879";4312906;"Epis贸dico";"Epis贸dico";"Se manteve";17,5;76,8;506,5;123,7;350;8,3;111;"Nova Bassano";43;"RS";"n鉶 metropolitana";"mata atlantica";578,2;"Cfb";9582;59,15;97,58;73,82
"4880";4312955;"Epis贸dico";"Epis贸dico";"Se manteve";19,1;73,1;514;170;313;11,7;125,3;"Nova Boa Vista";43;"RS";"n鉶 metropolitana";"mata atlantica";463,07;"Cfa";2040;43,03;99,55;51,57
"4881";4313003;"Sem transmiss茫o";"Epis贸dico";"Piorou";18,6;79,3;496,1;159,3;354,3;10;147,7;"Nova Br茅scia";43;"RS";"n鉶 metropolitana";"mata atlantica";377,09;"Cfa";3037;18,76;96,19;90
"4882";4313011;"Epis贸dico";"Epis贸dico/Epid锚mico";"Piorou";20,7;71;480,5;216;289;12,7;147;"Nova Candel谩ria";43;"RS";"n鉶 metropolitana";"mata atlantica";240,83;"Cfa";3056;81,4;99,89;69,92
"4883";4313037;"Epis贸dico";"Epis贸dico/Epid锚mico";"Piorou";19,6;73,2;414;184,7;314;9;139;"Nova Esperan莽a Do Sul";43;"RS";"n鉶 metropolitana";"pampa";261,12;"Cfa";4858;15,67;94,59;79,8
"4884";4313060;"Epis贸dico";"Epis贸dico/Epid锚mico";"Piorou";18,7;80;521,5;157,7;361;9;153;"Nova Hartz";43;"RS";"metropolitana";"mata atlantica";129,53;"Cfa";19799;96,71;95,67;99,78
"4885";4313086;"Epis贸dico";"Epis贸dico";"Se manteve";17,3;80;535,9;119;357,7;9,7;113;"Nova P谩dua";43;"RS";"n鉶 metropolitana";"mata atlantica";565,09;"Cfb";2334;78,71;95,19;87,77
