muni_code;muni_name;uf_code;uf_acr;tipo_regiao;bioma;altitude;koppen;pop22
2205805;Luzil√¢ndia;22;PI;n„o metropolitana;cerrado;58,38;Aw;25382
2205854;Madeiro;22;PI;n„o metropolitana;cerrado;56,66;Aw;8046
2205904;Manoel Em√≠dio;22;PI;n„o metropolitana;cerrado;404,95;Aw;5212
2205953;Marcol√¢ndia;22;PI;n„o metropolitana;caatinga;658,62;BSh;8541
2206001;Marcos Parente;22;PI;n„o metropolitana;cerrado;287,65;Aw;4729
2206050;Massap√™ Do Piau√≠;22;PI;n„o metropolitana;caatinga;302,68;BSh;5233
2206100;Matias Ol√≠mpio;22;PI;n„o metropolitana;cerrado;74,1;Aw;10712
2206209;Miguel Alves;22;PI;n„o metropolitana;cerrado;81,96;Aw;32151
2206308;Miguel Le√£o;22;PI;metropolitana;cerrado;266,55;Aw;1318
2206357;Milton Brand√£o;22;PI;n„o metropolitana;caatinga;317,14;As;6543
2206407;Monsenhor Gil;22;PI;metropolitana;cerrado;195,2;Aw;10260
2206506;Monsenhor Hip√≥lito;22;PI;n„o metropolitana;caatinga;466,62;BSh;7550
2206605;Monte Alegre Do Piau√≠;22;PI;n„o metropolitana;cerrado;444,03;Aw;10683
2206654;Morro Cabe√ßa No Tempo;22;PI;n„o metropolitana;caatinga;520,85;Aw;4361
2206670;Morro Do Chap√©u Do Piau√≠;22;PI;n„o metropolitana;cerrado;79,5;Aw;6422
2206696;Murici Dos Portelas;22;PI;n„o metropolitana;cerrado;46,31;As;9841
2206704;Nazar√© Do Piau√≠;22;PI;n„o metropolitana;cerrado;212,05;Aw;6660
2206720;Naz√°ria;22;PI;metropolitana;cerrado;74;Aw;10278
2206753;Nossa Senhora De Nazar√©;22;PI;n„o metropolitana;cerrado;117,09;As;5195
2206803;Nossa Senhora Dos Rem√©dios;22;PI;n„o metropolitana;cerrado;87,41;Aw;8523
2206902;Novo Oriente Do Piau√≠;22;PI;n„o metropolitana;cerrado;324,64;Aw;6081
2206951;Novo Santo Ant√¥nio;22;PI;n„o metropolitana;cerrado;170,73;As;2820
2207009;Oeiras;22;PI;n„o metropolitana;caatinga;238,48;Aw;38192
2207108;Olho D'√°gua Do Piau√≠;22;PI;n„o metropolitana;cerrado;245,28;Aw;2646
2207207;Padre Marcos;22;PI;n„o metropolitana;caatinga;395,59;BSh;6379
2207306;Paes Landim;22;PI;n„o metropolitana;caatinga;259,37;BSh;4100
2207355;Paje√∫ Do Piau√≠;22;PI;n„o metropolitana;caatinga;328,37;Aw;3001
2207405;Palmeira Do Piau√≠;22;PI;n„o metropolitana;cerrado;470,08;Aw;4954
2207504;Palmeirais;22;PI;n„o metropolitana;cerrado;170,31;Aw;13156
2207553;Paquet√°;22;PI;n„o metropolitana;caatinga;299,15;As;3818
2207603;Parnagu√°;22;PI;n„o metropolitana;caatinga;453,41;Aw;9429
2207702;Parna√≠ba;22;PI;n„o metropolitana;caatinga;19,61;As;163087
2207751;Passagem Franca Do Piau√≠;22;PI;n„o metropolitana;cerrado;186,8;Aw;4144
2207777;Patos Do Piau√≠;22;PI;n„o metropolitana;caatinga;311,42;BSh;5425
2207793;Pau D'arco Do Piau√≠;22;PI;n„o metropolitana;cerrado;129,44;Aw;3879
2207801;Paulistana;22;PI;n„o metropolitana;caatinga;386,74;BSh;21080
2207850;Pavussu;22;PI;n„o metropolitana;caatinga;408,95;Aw;3620
2207900;Pedro Ii;22;PI;n„o metropolitana;caatinga;427,69;As;37945
2207934;Pedro Laurentino;22;PI;n„o metropolitana;caatinga;298,96;BSh;2458
2207959;Nova Santa Rita;22;PI;n„o metropolitana;caatinga;325,66;BSh;4059
2208007;Picos;22;PI;n„o metropolitana;caatinga;322,02;BSh;82028
2208106;Pimenteiras;22;PI;n„o metropolitana;caatinga;520,7;As;11172
2208205;Pio Ix;22;PI;n„o metropolitana;caatinga;578,04;BSh;17586
2208304;Piracuruca;22;PI;n„o metropolitana;cerrado;118,42;As;28906
2208403;Piripiri;22;PI;n„o metropolitana;cerrado;185,04;As;65762
2208502;Porto;22;PI;n„o metropolitana;cerrado;56,43;Aw;12122
2208551;Porto Alegre Do Piau√≠;22;PI;n„o metropolitana;cerrado;260,08;Aw;2342
2208601;Prata Do Piau√≠;22;PI;n„o metropolitana;cerrado;134,13;Aw;3042
2208650;Queimada Nova;22;PI;n„o metropolitana;caatinga;478,66;BSh;8734
2208700;Reden√ß√£o Do Gurgu√©ia;22;PI;n„o metropolitana;cerrado;440,81;Aw;8393
2208809;Regenera√ß√£o;22;PI;n„o metropolitana;cerrado;280,29;Aw;17108
2208858;Riacho Frio;22;PI;n„o metropolitana;cerrado;416,46;Aw;4112
2208874;Ribeira Do Piau√≠;22;PI;n„o metropolitana;caatinga;234,47;BSh;4043
2208908;Ribeiro Gon√ßalves;22;PI;n„o metropolitana;cerrado;389,28;Aw;6164
2209005;Rio Grande Do Piau√≠;22;PI;n„o metropolitana;caatinga;358,14;Aw;5789
2209104;Santa Cruz Do Piau√≠;22;PI;n„o metropolitana;caatinga;260,11;As;5834
2209153;Santa Cruz Dos Milagres;22;PI;n„o metropolitana;cerrado;198,86;Aw;3432
2209203;Santa Filomena;22;PI;n„o metropolitana;cerrado;435,02;Aw;6084
2209302;Santa Luz;22;PI;n„o metropolitana;cerrado;431,95;Aw;5339
2209351;Santana Do Piau√≠;22;PI;n„o metropolitana;caatinga;451,33;As;4124
2209377;Santa Rosa Do Piau√≠;22;PI;n„o metropolitana;caatinga;191,35;Aw;4645
2209401;Santo Ant√¥nio De Lisboa;22;PI;n„o metropolitana;caatinga;381,49;BSh;5842
2209450;Santo Ant√¥nio Dos Milagres;22;PI;n„o metropolitana;cerrado;236,89;Aw;2141
2209500;Santo In√°cio Do Piau√≠;22;PI;n„o metropolitana;caatinga;262,34;BSh;3645
2209559;S√£o Braz Do Piau√≠;22;PI;n„o metropolitana;caatinga;577,16;Aw;4359
2209609;S√£o F√©lix Do Piau√≠;22;PI;n„o metropolitana;cerrado;170,72;Aw;2842
2209658;S√£o Francisco De Assis Do Piau√≠;22;PI;n„o metropolitana;caatinga;383,63;BSh;5561
2209708;S√£o Francisco Do Piau√≠;22;PI;n„o metropolitana;caatinga;213,18;Aw;5386
2209757;S√£o Gon√ßalo Do Gurgu√©ia;22;PI;n„o metropolitana;cerrado;541,57;Aw;2960
2209807;S√£o Gon√ßalo Do Piau√≠;22;PI;n„o metropolitana;cerrado;239,93;Aw;4842
2209856;S√£o Jo√£o Da Canabrava;22;PI;n„o metropolitana;caatinga;471,06;As;4190
2209872;S√£o Jo√£o Da Fronteira;22;PI;n„o metropolitana;caatinga;204,12;As;5525
2209906;S√£o Jo√£o Da Serra;22;PI;n„o metropolitana;cerrado;175,54;As;6118
2209955;S√£o Jo√£o Da Varjota;22;PI;n„o metropolitana;caatinga;354,93;As;4375
2209971;S√£o Jo√£o Do Arraial;22;PI;n„o metropolitana;cerrado;100;Aw;8202
2210003;S√£o Jo√£o Do Piau√≠;22;PI;n„o metropolitana;caatinga;292,09;BSh;21506
2210052;S√£o Jos√© Do Divino;22;PI;n„o metropolitana;cerrado;56,07;As;4842
2210102;S√£o Jos√© Do Peixe;22;PI;n„o metropolitana;caatinga;236,99;Aw;3288
2210201;S√£o Jos√© Do Piau√≠;22;PI;n„o metropolitana;caatinga;523;As;6600
2210300;S√£o Juli√£o;22;PI;n„o metropolitana;caatinga;402,19;BSh;5998
2210359;S√£o Louren√ßo Do Piau√≠;22;PI;n„o metropolitana;caatinga;386,45;BSh;4411
2210375;S√£o Luis Do Piau√≠;22;PI;n„o metropolitana;caatinga;403,91;As;2279
2210383;S√£o Miguel Da Baixa Grande;22;PI;n„o metropolitana;cerrado;185,96;Aw;2269
2210391;S√£o Miguel Do Fidalgo;22;PI;n„o metropolitana;caatinga;244,34;BSh;2824
2210409;S√£o Miguel Do Tapuio;22;PI;n„o metropolitana;cerrado;370,61;As;17544
2210508;S√£o Pedro Do Piau√≠;22;PI;n„o metropolitana;cerrado;257,86;Aw;13776
2210607;S√£o Raimundo Nonato;22;PI;n„o metropolitana;caatinga;462,03;BSh;39036
2210623;Sebasti√£o Barros;22;PI;n„o metropolitana;cerrado;478,07;Aw;3187
2210631;Sebasti√£o Leal;22;PI;n„o metropolitana;cerrado;421,99;Aw;4427
2210656;Sigefredo Pacheco;22;PI;n„o metropolitana;cerrado;228,63;As;9465
2210706;Sim√µes;22;PI;n„o metropolitana;caatinga;542,85;BSh;14344
2210805;Simpl√≠cio Mendes;22;PI;n„o metropolitana;caatinga;285,66;BSh;13842
2210904;Socorro Do Piau√≠;22;PI;n„o metropolitana;caatinga;284,6;BSh;4151
2210938;Sussuapara;22;PI;n„o metropolitana;caatinga;293,27;BSh;6221
2210953;Tamboril Do Piau√≠;22;PI;n„o metropolitana;caatinga;426,1;Aw;2949
2210979;Tanque Do Piau√≠;22;PI;n„o metropolitana;cerrado;301,84;Aw;2294
2211001;Teresina;22;PI;metropolitana;cerrado;113,31;Aw;868523
2211100;Uni√£o;22;PI;metropolitana;cerrado;85,68;Aw;46136
2211209;Uru√ßu√≠;22;PI;n„o metropolitana;cerrado;411,67;Aw;25166
2211308;Valen√ßa Do Piau√≠;22;PI;n„o metropolitana;cerrado;314,65;Aw;22316
2211357;V√°rzea Branca;22;PI;n„o metropolitana;caatinga;469,07;BSh;5055
2211407;V√°rzea Grande;22;PI;n„o metropolitana;cerrado;342,51;Aw;4418
2211506;Vera Mendes;22;PI;n„o metropolitana;caatinga;311,49;Aw;3084
2211605;Vila Nova Do Piau√≠;22;PI;n„o metropolitana;caatinga;413,86;BSh;2764
2211704;Wall Ferraz;22;PI;n„o metropolitana;caatinga;239,7;As;4020
2300101;Abaiara;23;CE;n„o metropolitana;caatinga;475,84;As;9670
2300150;Acarape;23;CE;n„o metropolitana;caatinga;143,97;As;13553
2300200;Acara√∫;23;CE;n„o metropolitana;caatinga;30,58;As;64551
2300309;Acopiara;23;CE;n„o metropolitana;caatinga;347,06;As;44601
2300408;Aiuaba;23;CE;n„o metropolitana;caatinga;522,56;BSh;13661
2300507;Alc√¢ntaras;23;CE;n„o metropolitana;caatinga;641,36;As;11359
2300606;Altaneira;23;CE;n„o metropolitana;caatinga;569,56;As;6782
2300705;Alto Santo;23;CE;n„o metropolitana;caatinga;121,78;As;14157
2300754;Amontada;23;CE;n„o metropolitana;caatinga;41,3;As;47486
2300804;Antonina Do Norte;23;CE;n„o metropolitana;caatinga;423,03;BSh;7054
2300903;Apuiar√©s;23;CE;n„o metropolitana;caatinga;106,91;BSh;12974
2301000;Aquiraz;23;CE;metropolitana;caatinga;35,62;As;92281
2301109;Aracati;23;CE;n„o metropolitana;caatinga;34,35;As;82476
2301208;Aracoiaba;23;CE;n„o metropolitana;caatinga;116,69;As;25522
2301257;Ararend√°;23;CE;n„o metropolitana;caatinga;366,03;As;11096
2301307;Araripe;23;CE;n„o metropolitana;caatinga;756,98;BSh;19791
2301406;Aratuba;23;CE;n„o metropolitana;caatinga;570,53;As;12110
2301505;Arneiroz;23;CE;n„o metropolitana;caatinga;428,67;BSh;7304
2301604;Assar√©;23;CE;n„o metropolitana;caatinga;499,02;As;21703
2301703;Aurora;23;CE;n„o metropolitana;caatinga;332,74;As;23173
2301802;Baixio;23;CE;n„o metropolitana;caatinga;275,46;As;5697
2301851;Banabui√∫;23;CE;n„o metropolitana;caatinga;156,91;BSh;16447
2301901;Barbalha;23;CE;n„o metropolitana;caatinga;765,33;As;72700
2301950;Barreira;23;CE;n„o metropolitana;caatinga;99,6;As;22412
2302008;Barro;23;CE;n„o metropolitana;caatinga;409,05;As;19313
2302057;Barroquinha;23;CE;n„o metropolitana;caatinga;18,71;As;14563
2302107;Baturit√©;23;CE;n„o metropolitana;caatinga;231,88;As;33335
2302206;Beberibe;23;CE;n„o metropolitana;caatinga;44,12;As;52726
2302305;Bela Cruz;23;CE;n„o metropolitana;caatinga;50,2;As;30050
2302404;Boa Viagem;23;CE;n„o metropolitana;caatinga;413,8;BSh;48213
2302503;Brejo Santo;23;CE;n„o metropolitana;caatinga;475;As;51034
