,geocodigo,temp_med,umid_med,precip_tot,year,muni_code,dengue_pattern
52738,4116802,19.733928452747254,79.08416872802198,652.75777831042,2012,4116802,Episódico/Epidêmico
52739,4116901,22.488619886538462,73.68767843681319,645.1992395625,2012,4116901,Epidêmico
52740,4116950,18.799930469505494,79.96634409615385,748.4992344367,2012,4116950,Episódico
52741,4117008,20.861494906593407,77.2924694532967,536.27991103287,2012,4117008,Episódico/Epidêmico
52742,4117057,19.31637396346154,80.87189317582418,838.59261221096,2012,4117057,Episódico/Epidêmico
52743,4117107,23.334766674725277,72.65106429395604,571.1000041412,2012,4117107,Epidêmico
52744,4117206,22.33756166565934,73.58962069780219,642.124254759,2012,4117206,Episódico/Epidêmico
52745,4117214,20.507522348901098,78.18866320054946,534.223769369,2012,4117214,Episódico/Epidêmico
52746,4117222,22.10595741236264,73.87497381318681,667.5394007432,2012,4117222,Episódico/Epidêmico
52747,4117255,19.642345167032968,79.32344039285715,720.74833137557,2012,4117255,Episódico/Epidêmico
52748,4117271,20.249299990934066,78.7077933021978,719.6261804093,2012,4117271,Episódico
52749,4117297,21.26655913901099,77.70235345329671,663.17226028616,2012,4117297,Episódico/Epidêmico
52750,4117305,19.504010732967032,81.6029792445055,649.87804530828,2012,4117305,Episódico
52751,4117404,22.270563886263737,74.34453054945055,673.0754028538,2012,4117404,Episódico/Epidêmico
52752,4117453,21.942170948626373,74.70913704120879,566.5849015184,2012,4117453,Episódico/Epidêmico
52753,4117503,21.81158975412088,76.40275457417582,641.9123323307,2012,4117503,Episódico/Epidêmico
52754,4117602,16.461844034807694,83.20100650824176,763.53563509924,2012,4117602,Episódico/Epidêmico
52755,4117701,17.938821635714287,81.1806252032967,610.95586611222,2012,4117701,Episódico/Epidêmico
52756,4117800,18.89802926181319,80.32885510164836,692.3279971418,2012,4117800,Episódico
52757,4117909,22.10595741236264,73.87497381318681,667.5394007432,2012,4117909,Episódico/Epidêmico
52758,4118006,22.687190298901097,73.48208838186812,642.4737317749,2012,4118006,Episódico/Epidêmico
52759,4118105,22.94186554945055,73.34543344780221,546.97021091388,2012,4118105,Episódico/Epidêmico
52760,4118204,20.838954895604395,83.17243796703296,650.50594369376,2012,4118204,Epidêmico
52761,4118303,22.867564035714288,73.44338703021978,526.2517189056,2012,4118303,Episódico/Epidêmico
52762,4118402,22.85179731263736,72.74958527747253,657.0627067316,2012,4118402,Epidêmico
52763,4118451,22.133230816758243,74.7524004532967,600.64990991153,2012,4118451,Episódico/Epidêmico
52764,4118501,18.622219346428572,79.9906041043956,763.4375011224699,2012,4118501,Episódico/Epidêmico
52765,4118600,17.31596564835165,83.4531263956044,596.03325095509,2012,4118600,Episódico
52766,4118709,17.31596564835165,83.4531263956044,596.03325095509,2012,4118709,Episódico
52767,4118808,20.947676521153845,77.82412743406593,739.5918083171,2012,4118808,Epidêmico
52768,4118857,22.32719393434066,73.45338630769231,694.787767872,2012,4118857,Episódico/Epidêmico
