muni_code_6;munname;prop_esgot;prop_abast;prop_residuo
150548;PACAJA;11,53;79,89;29,49
150549;PALESTINA DO PARA;0,45;89,34;38,57
150550;PARAGOMINAS;12,96;93,23;87,66
150553;PARAUAPEBAS;46,63;93,58;95,6
150555;PAU D'ARCO;0,85;70,6;43,8
150560;PEIXE-BOI;35,72;90,31;49,8
150563;PICARRA;3,03;85,84;38,77
150565;PLACAS;1,51;76,47;29,8
150570;PONTA DE PEDRAS;21,93;67,32;41,01
150580;PORTEL;11,37;62,51;47,25
150590;PORTO DE MOZ;12,99;60,63;25
150600;PRAINHA;4,99;62,85;22,23
150610;PRIMAVERA;40,24;92,36;52,72
150611;QUATIPURU;41,64;78,66;60,2
150613;REDENCAO;10,19;90,25;81,4
150616;RIO MARIA;9,37;91,21;69,12
150618;RONDON DO PARA;3,35;84,44;72,53
150619;RUROPOLIS;6,12;79,87;34,9
150620;SALINOPOLIS;48,57;91,51;79,79
150630;SALVATERRA;5,35;96,2;37,04
150635;SANTA BARBARA DO PARA;10,23;92,87;52,55
150640;SANTA CRUZ DO ARARI;12,46;84,54;64,02
150650;SANTA IZABEL DO PARA;11,05;91,57;74,45
150655;SANTA LUZIA DO PARA;23,08;84,67;49,84
150658;SANTA MARIA DAS BARREIRAS;16,24;88,49;30,57
150660;SANTA MARIA DO PARA;5;89,74;66,94
150670;SANTANA DO ARAGUAIA;16,43;89,53;55,52
150680;SANTAREM;40,29;79,65;75,65
150690;SANTAREM NOVO;43,57;85,65;55,72
150700;SANTO ANTONIO DO TAUA;10,57;93,45;60,17
150710;SAO CAETANO DE ODIVELAS;6,72;90,23;47,84
150715;SAO DOMINGOS DO ARAGUAIA;9,93;94,05;57,9
150720;SAO DOMINGOS DO CAPIM;7,84;68,9;40,92
150730;SAO FELIX DO XINGU;22,18;89,01;49,26
150740;SAO FRANCISCO DO PARA;38,5;87,26;49,33
150745;SAO GERALDO DO ARAGUAIA;24,37;88,13;61,57
150746;SAO JOAO DA PONTA;22,52;89,56;73,34
150747;SAO JOAO DE PIRABAS;10,29;86,42;40,9
150750;SAO JOAO DO ARAGUAIA;15,3;80,31;10,87
150760;SAO MIGUEL DO GUAMA;8,65;74,15;55,13
150770;SAO SEBASTIAO DA BOA VISTA;3,26;36,59;41,64
150775;SAPUCAIA;2,78;91,95;74,13
150780;SENADOR JOSE PORFIRIO;6,53;75,41;43,49
150790;SOURE;65,55;89,8;76,38
150795;TAILANDIA;5,66;95,47;85,61
150796;TERRA ALTA;0,73;94,06;67,17
150797;TERRA SANTA;12,5;85,35;74,23
150800;TOME-ACU;2,84;87,73;61,21
