,geocode,season,temp_med,umid_med,precip_tot,thr_temp,thr_umid,thr_prec,thr_temp_umid,year,dengue_pattern
130,2703007,Summer,24.198122222222224,79.07631444444445,817.4933,90,90,26,90,2010,Episódico
131,2703007,Winter,20.745283695652173,86.0123,2346.1345,84,92,63,84,2010,Episódico
132,2703106,Autumn,24.098102173913045,82.27286956521739,1473.1026,92,92,44,92,2010,Episódico/Epidêmico
133,2703106,Spring,25.02217222222222,72.27968111111112,478.7161,90,90,11,90,2010,Episódico/Epidêmico
134,2703106,Summer,26.086212222222226,71.28262777777778,502.5972,90,89,16,89,2010,Episódico/Epidêmico
135,2703106,Winter,21.745822826086957,82.54370217391305,1177.1673,92,92,37,92,2010,Episódico/Epidêmico
136,2703205,Autumn,24.880646739130434,83.33037282608696,2031.8118,92,92,54,92,2010,Episódico/Epidêmico
137,2703205,Spring,25.739729999999998,74.16279444444444,496.00260000000003,90,90,10,90,2010,Episódico/Epidêmico
138,2703205,Summer,26.683907777777776,74.27560555555556,702.7424,90,90,19,90,2010,Episódico/Epidêmico
139,2703205,Winter,22.84271195652174,81.31720326086956,1177.2118,92,92,40,92,2010,Episódico/Epidêmico
140,2703304,Autumn,24.58189456521739,76.623675,1018.5325,92,86,28,86,2010,Episódico/Epidêmico
141,2703304,Spring,26.19761777777778,63.794291111111114,397.3142,90,59,8,59,2010,Episódico/Epidêmico
142,2703304,Summer,26.97444888888889,64.46391444444444,514.3204,90,64,18,64,2010,Episódico/Epidêmico
143,2703304,Winter,22.169816304347826,76.22471413043479,594.8007,92,91,15,91,2010,Episódico/Epidêmico
144,2703403,Autumn,25.10035217391304,77.94544891304348,1273.0347,92,90,28,90,2010,Episódico/Epidêmico
145,2703403,Spring,26.55319,65.72249777777778,365.9475,90,73,6,73,2010,Episódico/Epidêmico
146,2703403,Summer,27.46756,65.78704333333333,418.7656,90,69,11,69,2010,Episódico/Epidêmico
147,2703403,Winter,22.748670652173914,77.51863043478261,707.7222,92,92,20,92,2010,Episódico/Epidêmico
148,2703502,Autumn,24.67771630434783,84.66687391304347,2404.2505,92,92,61,92,2010,Episódico/Epidêmico
149,2703502,Spring,25.200277777777778,75.70639777777777,641.726,90,90,18,90,2010,Episódico/Epidêmico
150,2703502,Summer,25.956514444444444,77.63031,915.9713,90,90,35,90,2010,Episódico/Epidêmico
151,2703502,Winter,22.87854347826087,82.33104565217391,2215.3347,92,92,58,92,2010,Episódico/Epidêmico
152,2703601,Autumn,25.469757608695655,83.10940760869565,3341.1148,92,92,72,92,2010,Episódico
153,2703601,Spring,25.712745555555557,75.58052666666667,623.9925,90,90,23,90,2010,Episódico
154,2703601,Summer,26.36781444444444,77.87047222222222,1076.927,90,90,39,90,2010,Episódico
155,2703601,Winter,23.987491304347827,78.82890326086957,2685.9131,92,92,63,92,2010,Episódico
156,2703700,Autumn,24.784486956521736,79.56888586956521,1352.8642,92,91,33,91,2010,Episódico
157,2703700,Spring,26.04623888888889,68.10061444444445,330.1574,90,84,7,84,2010,Episódico
158,2703700,Summer,27.03760777777778,67.69173111111111,440.4095,90,80,14,80,2010,Episódico
159,2703700,Winter,22.410465217391305,79.57082717391305,835.7305,92,92,25,92,2010,Episódico
160,2703759,Autumn,25.10458260869565,83.07285217391305,2511.9012,92,92,66,92,2010,Episódico/Epidêmico
161,2703759,Spring,25.680163333333333,74.33618222222222,567.9294,90,90,12,90,2010,Episódico/Epidêmico
162,2703759,Summer,26.57154,74.8222711111111,863.9105,90,90,24,90,2010,Episódico/Epidêmico
163,2703759,Winter,23.23202608695652,80.12329456521739,1814.9022,92,92,49,92,2010,Episódico/Epidêmico
164,2703809,Autumn,23.767415217391303,85.99892608695653,2564.3845,92,92,61,92,2010,Episódico/Epidêmico
165,2703809,Spring,24.209731111111108,78.03927333333333,683.5768,90,90,28,90,2010,Episódico/Epidêmico
166,2703809,Summer,25.096894444444445,78.5835411111111,833.1161,90,90,26,90,2010,Episódico/Epidêmico
167,2703809,Winter,21.76829891304348,84.57956195652174,2439.6784,92,92,62,92,2010,Episódico/Epidêmico
168,2703908,Autumn,24.58527391304348,85.06895652173912,2497.4609,92,92,62,92,2010,Episódico
169,2703908,Spring,25.067866666666667,76.53166555555556,664.3801,90,90,24,90,2010,Episódico
170,2703908,Summer,25.841364444444444,78.14527,892.9168,90,90,35,90,2010,Episódico
171,2703908,Winter,22.766182608695654,82.89210543478261,2367.4004,92,92,63,92,2010,Episódico
172,2704005,Autumn,24.41567065217391,83.81014891304348,2000.4594,92,92,56,92,2010,Episódico/Epidêmico
173,2704005,Spring,25.170894444444446,74.65335444444445,510.751,90,90,9,90,2010,Episódico/Epidêmico
