,geocode,season,temp_med,umid_med,precip_tot,thr_temp,thr_umid,thr_prec,thr_temp_umid,year,dengue_pattern
157,2703700,Spring,26.436183333333332,65.68546666666667,164.1107,90,74,1,74,2017,Episódico
158,2703700,Summer,27.493135555555554,66.52349222222223,351.4369,90,80,7,80,2017,Episódico
159,2703700,Winter,23.725209782608697,72.04059782608695,313.6753,92,92,3,92,2017,Episódico
160,2703759,Autumn,25.25999456521739,80.92957282608695,1317.9843,92,92,57,92,2017,Episódico/Epidêmico
161,2703759,Spring,25.7063,74.53272333333334,505.029,90,90,16,90,2017,Episódico/Epidêmico
162,2703759,Summer,26.67273,75.81110666666667,855.5089,90,90,34,90,2017,Episódico/Epidêmico
163,2703759,Winter,24.03328804347826,75.09247934782609,740.6425,92,92,25,92,2017,Episódico/Epidêmico
164,2703809,Autumn,23.647639130434783,85.84979891304347,1479.5425,92,92,57,92,2017,Episódico/Epidêmico
165,2703809,Spring,24.102267777777776,79.54247666666667,705.2102,90,90,31,90,2017,Episódico/Epidêmico
166,2703809,Summer,25.172346666666666,79.90506888888889,950.9905,90,90,39,90,2017,Episódico/Epidêmico
167,2703809,Winter,22.120671739130433,82.43020217391305,980.5358,92,92,42,92,2017,Episódico/Epidêmico
168,2703908,Autumn,24.50175652173913,84.72863152173913,1500.5651,92,92,64,92,2017,Episódico
169,2703908,Spring,24.923094444444445,78.45374,722.339,90,90,30,90,2017,Episódico
170,2703908,Summer,25.861052222222224,79.61186333333333,1056.6000999999999,90,90,39,90,2017,Episódico
171,2703908,Winter,23.16115652173913,80.27257934782608,920.6771,92,92,41,92,2017,Episódico
172,2704005,Autumn,24.58234347826087,81.89261847826087,1006.7431,92,92,44,92,2017,Episódico/Epidêmico
173,2704005,Spring,25.34673,73.76926333333333,359.44939999999997,90,90,6,90,2017,Episódico/Epidêmico
174,2704005,Summer,26.40249222222222,74.43589666666666,654.7264,90,90,22,90,2017,Episódico/Epidêmico
175,2704005,Winter,23.174547826086954,77.45641304347826,604.0062,92,92,19,92,2017,Episódico/Epidêmico
