muni_code;dengue_pattern_2010_2016;dengue_pattern_2017_2022;transition
1506005;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
1506104;Episódico/Epidêmico;Episódico;Melhorou
1506112;Episódico;Episódico;Se manteve
1506138;Episódico/Epidêmico;Epidêmico;Piorou
1506161;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
1506187;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
1506195;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
1506203;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
1506302;Episódico/Epidêmico;Episódico;Melhorou
1506351;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
1506401;Sem transmissão;Sem transmissão;Se manteve
1506500;Epidêmico;Episódico/Epidêmico;Melhorou
1506559;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
1506583;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
1506609;Episódico;Episódico/Epidêmico;Piorou
1506708;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
1506807;Epidêmico;Epidêmico;Se manteve
1506906;Episódico;Episódico/Epidêmico;Piorou
1507003;Episódico/Epidêmico;Episódico;Melhorou
1507102;Episódico/Epidêmico;Episódico;Melhorou
1507151;Episódico/Epidêmico;Episódico;Melhorou
1507201;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
1507300;Epidêmico;Episódico/Epidêmico;Melhorou
1507409;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
1507458;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
1507466;Episódico/Epidêmico;Episódico;Melhorou
1507474;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
1507508;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
1507607;Episódico/Epidêmico;Episódico;Melhorou
1507706;Episódico/Epidêmico;Episódico;Melhorou
1507755;Episódico;Episódico;Se manteve
1507805;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
1507904;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
1507953;Epidêmico;Episódico/Epidêmico;Melhorou
1507961;Episódico/Epidêmico;Episódico;Melhorou
1507979;Episódico;Episódico;Se manteve
1508001;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
